Atributo,Valor,Nombre
L,1,Joe Ross
SV,0,Joe Ross
IP,7,Joe Ross
H,6,Joe Ross
BB,2,Joe Ross
SO,1,Joe Ross
WHIP,1.143,Joe Ross
Equipo,Nationals,Anibal Sanchez
G,1,Anibal Sanchez
GS,1,Anibal Sanchez
ERA,6.75,Anibal Sanchez
W,0,Anibal Sanchez
L,1,Anibal Sanchez
SV,0,Anibal Sanchez
IP,5.1,Anibal Sanchez
H,10,Anibal Sanchez
BB,1,Anibal Sanchez
SO,4,Anibal Sanchez
WHIP,2.063,Anibal Sanchez
Equipo,Nationals,Max Scherzer
G,2,Max Scherzer
GS,2,Max Scherzer
ERA,3.6,Max Scherzer
W,1,Max Scherzer
L,0,Max Scherzer
SV,0,Max Scherzer
IP,10,Max Scherzer
H,12,Max Scherzer
BB,7,Max Scherzer
SO,10,Max Scherzer
WHIP,1.9,Max Scherzer
Equipo,Nationals,Stephen Strasburg
G,2,Stephen Strasburg
GS,2,Stephen Strasburg
ERA,2.51,Stephen Strasburg
W,2,Stephen Strasburg
L,0,Stephen Strasburg
SV,0,Stephen Strasburg
IP,14.1,Stephen Strasburg
H,12,Stephen Strasburg
BB,3,Stephen Strasburg
SO,14,Stephen Strasburg
WHIP,1.047,Stephen Strasburg
Equipo,Nationals,Wander Suero
G,3,Wander Suero
GS,0,Wander Suero
ERA,0,Wander Suero
W,0,Wander Suero
L,0,Wander Suero
SV,0,Wander Suero
IP,1.2,Wander Suero
H,0,Wander Suero
BB,0,Wander Suero
SO,2,Wander Suero
WHIP,0,Wander Suero
Equipo,Nationals,Nationals
G,28,Nationals
GS,7,Nationals
ERA,4.29,Nationals
W,4,Nationals
L,3,Nationals
SV,1,Nationals
IP,63,Nationals
H,68,Nationals
BB,27,Nationals
SO,51,Nationals
WHIP,1.508,Nationals
